,Registered Voters,Ballots Cast,Biden,Trump,Blankenship,Jorgensen,Carroll,WRITE-IN
City of Milwaukee Ward 246 ,1454,1266,1030,206,1,15,3,8
City of Milwaukee Ward 247 ,762,636,480,142,1,8,0,3
City of Milwaukee Ward 248 ,1516,1262,1006,229,1,15,2,8
City of Milwaukee Ward 249 ,610,366,282,79,0,4,0,0
City of Milwaukee Ward 250 ,484,347,281,60,1,1,0,2
City of Milwaukee Ward 251 ,373,238,179,53,0,2,3,1
City of Milwaukee Ward 252 ,627,458,342,108,0,5,0,2
City of Milwaukee Ward 253 ,282,210,149,58,0,2,1,0
City of Milwaukee Ward 254 ,299,194,143,47,0,0,1,1
City of Milwaukee Ward 255 ,362,256,199,52,1,1,0,1
City of Milwaukee Ward 256 ,447,274,214,51,3,2,1,1
City of Milwaukee Ward 257 ,898,628,489,124,4,4,2,2
City of Milwaukee Ward 258 ,967,724,544,169,0,5,0,3
City of Milwaukee Ward 259 ,646,511,380,123,0,4,0,2
City of Milwaukee Ward 260 ,467,405,290,108,0,4,0,0
City of Milwaukee Ward 261 ,604,523,337,174,1,10,0,1
City of Milwaukee Ward 262 ,1243,1065,665,388,1,7,2,1
City of Milwaukee Ward 263 ,710,579,374,199,1,4,1,0
City of Milwaukee Ward 264 ,1342,1185,676,485,3,10,5,6
City of Milwaukee Ward 265 ,723,629,351,267,0,6,3,1
City of Milwaukee Ward 266 ,843,722,340,360,0,17,0,4
City of Milwaukee Ward 267 ,723,658,362,285,4,5,0,1
City of Milwaukee Ward 268 ,1658,1455,798,634,3,12,4,1
City of Milwaukee Ward 269 ,978,861,451,388,3,14,0,1
City of Milwaukee Ward 270 ,931,801,411,376,4,8,0,0
City of Milwaukee Ward 271 ,1695,1476,817,634,1,15,1,4
City of Milwaukee Ward 272 ,1190,1096,512,567,2,11,2,2
City of Milwaukee Ward 273 ,671,612,313,290,0,7,0,0
City of Milwaukee Ward 274 ,702,611,296,297,0,12,2,3
City of Milwaukee Ward 275 ,1660,1425,772,633,4,9,3,2
City of Milwaukee Ward 276 ,1431,1302,672,600,0,17,2,4
City of Milwaukee Ward 277 ,1520,1321,688,602,4,16,6,4
City of Milwaukee Ward 278 ,838,742,370,359,0,9,1,1
City of Milwaukee Ward 279 ,1172,1045,573,445,1,16,1,4
