,Joseph R. Biden / Kamala D. Harris,Donald J. Trump / Michael R. Pence,Don Blankenship / William Mohr,Jo Jorgensen / Jeremy Spike Cohen,Brian Carroll / Amar Patel,WRITE-IN,
City of Greenfield Ward 6 ,448,530,1,17,0,0,
City of Greenfield Ward 7 ,629,643,2,12,3,7,
City of Greenfield Ward 8 ,612,504,1,7,2,1,
City of Greenfield Ward 9 ,550,499,0,14,0,2,
City of Greenfield Ward 10 ,565,518,1,13,3,2,
City of Greenfield Ward 11 ,619,689,1,8,2,4,
City of Greenfield Ward 12 ,609,767,0,14,1,1,
City of Greenfield Ward 13 ,352,317,0,4,1,1,
City of Greenfield Ward 14 ,469,428,0,10,0,3,
City of Greenfield Ward 15 ,431,467,2,11,0,1,
City of Greenfield Ward 16 ,182,200,0,2,0,1,
City of Greenfield Ward 17 ,461,346,1,5,0,2,
City of Greenfield Ward 18 ,426,448,1,12,1,0,
City of Greenfield Ward 19 ,764,525,1,5,0,3,
City of Greenfield Ward 20 ,685,665,0,8,2,4,
City of Greenfield Ward 21 ,450,372,1,12,2,1,
"V. Hales Corners Wards 1,2,3   ",726,878,4,22,2,5,
"V. Hales Corners Wards 4,5,6   ",751,829,1,14,2,6,
"V. Hales Corners Wards 7,8,9   ",763,772,5,7,1,4,
"C. Oak Creek Wards 1,2,3 ",1701,1744,6,55,10,6,
"C. Oak Creek Wards 4,5,6 ",1777,1607,8,46,3,12,
"C. Oak Creek Wards 7,8,9 ",1652,1758,4,30,3,14,
"C. Oak Creek Wards 10,11,12 ",1596,2090,8,48,6,10,
"C. Oak Creek Wards 13,14,15 ",1559,2056,3,37,1,8,
"C. Oak Creek Wards 16,17,18,19 ",1565,1307,5,38,2,12,
"V. River Hills Wards 1,2,3 ",715,535,1,4,0,4,
"C. St. Francis Wards 1,2,3,4   ",966,688,2,25,0,7,
"C. St. Francis Wards 5,6,7,8   ",1045,742,4,21,3,3,
"C. St. Francis Wards 9,10,11,1 ",1370,807,2,22,3,2,
"V. Shorewood Wards 1,2,3,4 ",2851,606,7,34,3,8,
"V. Shorewood Wards 5,6,7,8 ",2460,435,0,19,2,23,
"V. Shorewood Wards 9,10,11,12  ",2389,419,0,23,7,7,
"C. So. Milw. Wards 1,2,3,4 ",1502,1252,6,49,5,10,
"C. So. Milw. Wards 5,6,7,8 ",1240,1179,3,34,2,6,
"C. So. Milw. Wards 9,10,11,12  ",1543,1570,3,24,4,10,
"C. So. Milw. Wards 13,14,15,16 ",1354,1345,3,39,1,11,
City of Wauwatosa Ward 1 ,935,352,2,15,4,5,
City of Wauwatosa Ward 2 ,1006,298,1,12,2,2,
City of Wauwatosa Ward 3 ,981,401,0,13,3,6,
City of Wauwatosa Ward 4 ,1264,589,0,28,4,8,
City of Wauwatosa Ward 5 ,747,333,0,13,1,1,
City of Wauwatosa Ward 6 ,733,267,1,12,4,2,
City of Wauwatosa Ward 7 ,1018,509,1,23,3,8,
City of Wauwatosa Ward 8 ,414,276,1,1,5,1,
City of Wauwatosa Ward 9 ,783,631,2,23,3,5,
City of Wauwatosa Ward 10 ,1009,379,0,23,5,9,
City of Wauwatosa Ward 11 ,942,370,0,13,6,4,
City of Wauwatosa Ward 12 ,1009,540,2,17,3,7,
City of Wauwatosa Ward 13 ,538,175,0,18,2,1,
City of Wauwatosa Ward 14 ,1019,333,3,20,2,9,
City of Wauwatosa Ward 15 ,1128,325,3,24,1,5,
City of Wauwatosa Ward 16 ,1056,489,2,26,7,10,
City of Wauwatosa Ward 17 ,796,527,0,14,4,8,
City of Wauwatosa Ward 18 ,756,369,0,9,2,1,
City of Wauwatosa Ward 19 ,836,455,2,19,0,3,
City of Wauwatosa Ward 20 ,998,686,3,17,5,7,
City of Wauwatosa Ward 21 ,683,459,5,14,4,2,
City of Wauwatosa Ward 22 ,859,484,3,23,1,7,
City of Wauwatosa Ward 23 ,668,519,5,13,4,6,
City of Wauwatosa Ward 24 ,702,338,1,9,3,5,
